text	label
CLC esengi Tshisekedi kokweyisa Ass. Nationale mpe kobengisi dialogue	rdc
Bolukiluki bofungwami nsima na bobomi bwa Chinois moko na cimenterie ya Lualaba	bokengi / securite
VOA60 Lingala 20 février 2021	bokolongono / santé / medecine
Baketeli Koffi Olomide mibu mibale ya boloko na France	rdc
Bandunndu bakomi kokufa mingi na bozingi lisalisi na Lubumbashi	bokolongono / santé / medecine
Mukwege asengi tribunal pénal mpo na RDC	justice
TGI/Gombe ezongisi AFDC na Bahati	politiki / politique
Fayulu asengi bato kotambola le 17 janvier mpo na kotelemela balkanisation	rdc
"Tshisekedi atie Bahati Lukwebo bo’ ""informateur"""	politiki / politique
UDPS na nzela samedi mpo na kopesa maboko na ba consulltations mpe FCC mpo na kotelemela yango	politiki / politique
Tshisekedi atelemeli trafic illicite ya mibnduki na 33e Sommet ya UA (Vidéo)	rdc
VOA60 13 novembre 2020	politiki / politique
Consultations : Olenghankoy asengi Tshisekedi kosolola na Kabila kaka bango babale [TOTALA]	politiki / politique
VOA60 Lingala 19 novembre 2020	bokolongono / santé / medecine
Nani abimisaka molongi ya maponami ma mokonzi ya mboka na USA ?	politiki / politique
Kokoma Mokonzi aponami na USA elingi koloba nini (TANGA)	politiki / politique
Mbulamatari ya RDC epusi bobandi ya bopesi mangwele ma COVID-19	bokolongono / santé / medecine
Ali Bongo atikeli Sassou bokambi bwa CEEAC	politiki / politique
Tshisekedi alobi 2021 epesi RDC libaku ya kokamba UA mpe kokende liboso	politiki / politique
Masolo ya Zambie na RDC makatami mpe makozongela le 1er	bokengi / securite
RDC ezali candidate ya komeka mangwele ya COVID-19 (Dr. Muyembe)	bokolongono / santé / medecine
FMI elobi nkita ekiti moke na RDC	rdc
Tshisekedi na Kabila balakani kopesa na maboko na bitumba na COVID-19	bokolongono / santé / medecine
Colonel John Tshibangu atiyami na bopemi ya monganga na Centre Nganda	rdc
Opposition parlemetaire epaleli bureau ya Ass. Nat. mpo kosenga bato batiama na CENI na bozangi ya mbongwana	politiki / politique
Ba Léopards bakweyi na ¼ de finale na Nigeria 46-79	rdc
Bato 15 bakosamba mpo na eyoma na Capitole	justice
Basembali ya Kamerhe ya France bapameli politiki na bosambisami mpe bamemi makambo na ONU	politiki / politique
Tshisekedi azuwi bokambi ya bitumba na Ebola na maboko	rdc
Nzanzu Kasivita alobi ntina nini apekisi botelemeli MONUSCO na Nord-Kivu	bokengi / securite
VOA60 Lingala 2 mars 2021	politiki / politique
Mbeba ya makoki ya bomoto emati na 10% na septembre na RDC	rdc
Marie-Josée Mengi mosungi ya Hamida Kamerhe atiami na bokangami	justice
Dr. Munyangi azwi ndingisa ya kobanda ba essais cliniques ya mono na ye	bokolongono / santé / medecine
Bato 14 nde bakufaki na likama ya engunduka na Tanganyika	rdc
Tshisekedi alaki kopikola système dictatorial ya Kabila	rdc
Sango ya le 8 août 2019 na 16h TU na VOA Lingala	rdc
"Nani azali na nsima ya passport ya RDC? emituni ""Congo ezali ya koteka te"""	politiki / politique
Bozongi ya nzoto ya Etienne Tshiskedi bozongisami nsima	rdc
Libota lya zuzi Yanyi eboyi bilembo bya autopsie	justice
Ba ONGDH bakebisi mpo na bozongi ya Bakata-Katanga na ba Maï Maï na Katanga	rdc
Bato motoba bakufi ntango Cour constitutionnelle endimi elonga ya Ouattara	politiki / politique
Macron azwami na COVID-19 [TOTALA NA Lingala]	bokolongono / santé / medecine
Biteni ya nzoto esusu bizwami bisika ya likama ya Antonov 72	rdc
Lieut.Gén. Ndima alobi ba FADRC bazali kokoba bitumba ata volcan Nyiragongo etomboki (Exclusivité VOA Lingala)	bokengi / securite
Gouverneur ya Haut-Lomami alobi bolongoli bwa ye botosi mobeko te	rdc
"Kamerhe atiami na ""respiration artificielle"" (Michel Moto)"	politiki / politique
Liwa lya Gén. Delphin Kahimbi: Tribunal etiki bato banso basambisamaki	justice
Tshisekedi asololi boyokani na ntoma ya Rwanda na Kinshasa	politiki / politique
Mbusa Nyamwisi azongi mboka	rdc
Bakonga akatelemi mibu misato ya boloko mpe mwana na ye sanza motoba	justice
"Ba ""Sages-femmes"" to Baye babotisaka babikisa bomoi ya ba mama na bana mingi [TOTALA]"	bokolongono / santé / medecine
Thambwe Mwamba atiki mosala	politiki / politique
Mayobo asakoli ete PALU ekoti Union sacrée ya président Tshisekedi	politiki / politique
VOA60 Lingala 13 avril 2021	politiki / politique
CENCO esengi maponami na ntango na 2023 mpe mbongwana na baye bakotiama na mbulamatari	politiki / politique
"FARDC ""esukisi"" koleka 6 bakambi ya ADF na babundi 80 na Beni"	rdc
Tshisekedi na milulu mya mibu 80 ya bosakoli Brazzaville lokola engumba ya France ya bonsomi	politiki / politique
Sassou, molongani wa ye na bayi mbulamatari bapesami mangwele ma COVID-19	bokolongono / santé / medecine
VOA60 Lingala 3 septembre 2020	justice
Néhémie Mwilanya ayanoli na mituna nsima na bokutani ya FCC na Kingakati	rdc
Tshisekedi na Ouganda o’mokolo mwa mposo	rdc
VOA60 12 septembre 2020	bokengi / securite
VOA60 Lingala 5 mai 2021	bokengi / securite
TGI epesi mposo moko na ngambo ya Kalev Mutondo nsima na bobandi bosambisami	justice
Bokono bwa maba bozali nanu kongala na RDC, elobi Dr. Ngondu	bokolongono / santé / medecine
VOA120 Lingala 24 juin 2020	bokengi / securite
"Tshisekedi : ""Boyakani na Kabila ekosalama kaka na botosi Etat de droit"""	rdc
VOA60 Lingala 18 juin 2020	justice
VOA60 Lingala 30 décembre 2020	bokolongono / santé / medecine
"Fibrome to bokono bwa ""myome"""	bokolongono / santé / medecine
"Kotanga nkombo ya Kamerhe na bato bakobima boloko ezali ""faute professionnelle"" (ACAJ)"	justice
Washington Forum: Déboulonnement Tshisekedi alakaki	politiki / politique
Brazzaville ekobanda kopesa mangwele ma COVID-19 na 20% ya bana mboka na 1er trimestre ya 2021	bokolongono / santé / medecine
Tshisekedi atie Kyungu mokambi ya SNCC mpe Yuma, ya Gécamines	rdc
VOA60 6 août 2020	bokengi / securite
Bilenge ya UDPS basengi boyokani CACH-FCC bokatana	rdc
LUCHA na Filimbi babengisi milulu mpo na kosenga bobengani bwa ntoma ya Rwanda	politiki / politique
Congrès endimi elonga ya Biden nsima na eyoma na Capitole	politiki / politique
Kankonde asengi bokangemi ya moko na bakambi ya ba Kamuina Nsapu na Kasaï C.	rdc
Bruno Tshibala atiki mokanda ya botiki mosala	rdc
Mbulamatari na FRPI bakoyokona mpo na kimya vendredi na Ituri	rdc
Fayulu azongi na Kinshasa	rdc
Moto moko amonani na coronavirus na Kinshasa	rdc
Cour d’Appel eboyi kobisima Kamerhe ata azali na lopitalo	justice
Katumbi azongeli compagnie na ye KMC na esika ya NB Mining	justice
Ba FARDC bazali kobengana ba CODECO nzinganzinga na Bunia (Lieut. J. Ngongo)	bokengi / securite
Etat de siège: Limpinga lya yambo ya basoda ya FIB ya MONUSCO likomi na Beni	bokengi / securite
Bakeli mibeko bakweyisi mokambi ya etuka ya Tshopo	politiki / politique
Tshisekedi abonzi Congo démocratique na maboko ya Nzambe	rdc
Evêque Mukuna atikami	justice
Lamuka ezali kodongwana mpo na libonga ya molobeli ya opposition	rdc
Ndimbola ya Dr. Aruna nsima na liwa lya mwasi moko na Ebola na Biena	bokolongono / santé / medecine
Kamerhe na Makala	justice
VOA60 Lingala 31 mai 2021	bokengi / securite
VOA60 1er juillet 2020	politiki / politique
COVID19 : OMS ekebisi Afrika na kolongola mikano ya makasi	bokolongono / santé / medecine
VOA60 Lingala 11 mars 2021	politiki / politique
Ba soda 60 bakufi na bitumba na ba ADF ba Beni	rdc
Balongi ya DV 2020 bapesameli nzela ya kosala mobembo sika na USA	politiki / politique
Bato mingi bakufi na bobukani ya mine na Kamituga na Sud-kivu	bokengi / securite
Kalev Mutond apameli basungi ya kala ya Kabila mpo bozangi bosembo	rdc
Jaynet Kabila azelamaki na boyoki bato ya Tshisekedi kasi akendaki te	politiki / politique
Volcan Nyiragongo : Baye bakimaki na bisika ya lisalisi bakobanda kozonga le 8 juin	bokengi / securite
Lolenge nini mapitalo ma Goma mazali	bokolongono / santé / medecine
VOA60 Lingala 10 décembre 2020	politiki / politique
Tshisekedi apaleli eyoma likolo na bapaya na Afrika ya ngele	rdc
"Ba unités nyonso etiami na ya police ""alerte maximale"" na Lubumbashi"	bokengi / securite
5.000 FC ya amende soki olati masque te na lieu public na Kinshasa (vidéo)	bokolongono / santé / medecine
Tshisekedi asengi basimba minduki banso batika bibundeli	rdc
Bokutani ya Tshisekedi na Kabila bozali kobongisama	politiki / politique
Kabila akutani na bakambi ba mangomba ya FCC na Kingakati	politiki / politique
Sango ya le 16 juillet 2019 na VOA Lingala	rdc
Nangaa awangani kaniaka	rdc
Balandi ya UDPS batomboki na Lubumbashi	rdc
Lloyd Austin akomi moyindo ya yambo ya kokamba Pentagone	bokengi / securite
Baike ya opposition baboyi elonga ya Sassou mpe balaki kokende na bazuzi	politiki / politique
CLC, Lucha, Filimbi mpe Congo débout babengisa botamboli lobi mpo na kotelemela boponami ya Malonda	politiki / politique
Moto ya mibale akufi na Ebola na Biena  (OMS)	bokolongono / santé / medecine
Pascal Lissouba awei na mibu 88 na France	politiki / politique
Germain Katanga moko na babundi ya Ituri abimi boloko	rdc
Serge Yhombi Opango akomi moto ya mibale ya kosenga Cour constitutionnelle kopoya elonga ya Sassou	politiki / politique
VOA60 Lingala 17 mars 2021	bokengi / securite
B’episkopo bakebisi ete maponami ma le 21 mars mazanga pole na Congo-Brazzaville	politiki / politique
ONU epaleli liwa ya mopanzi sango mpo na Ebola na Ituri	rdc
Ba démocrates babandi misala mya kokweyisa Trump yambo bokonzi na ye bosila	politiki / politique
VOA60 Lingala 17 avril 2020	bokolongono / santé / medecine
Bayi LUCHA batelemeli botiyami ya ba bourgmestres na mokano ya ba gouverneurs	rdc
COVID19 : Bakoni banso babiki; Beni, Butembo na Goma ebimi na confinement	bokolongono / santé / medecine
Fayulu, Bemba, Katumbi na Muzito basengi mbulamatari kokitisa lifuta na yango mpo na COVID-19	rdc
"Mobulu na Kasumbalesa nsima na bokangami ya Tshiswaka ya UDPS na ""Bilanga"""	bokengi / securite
Batongi bilamba bazali kosala ba masques na Bukavu mpo na kobundisa COVID-19	bokolongono / santé / medecine
Cardinal Ambongo asengi kotelemela mikano mya kokonza ba zuzi mpe mya kotia bakonzi ya CENI na makasi	politiki / politique
Trump andimi Etats-Unis epesa etumbu na CPI mpo na koluka kolandela ba soda ya Amerika	justice
Joseph Kabila azongi Kinshasa	politiki / politique
Tshisekedi alakisi ete alingi kopesa bilenge esika na kopona PM Sama Lukonde ya mibu 43 (Patrick Muyaya)	politiki / politique
Conseil ya sécurité ebakisi mobu mosusu na mandat ya MONUSCO	rdc
VOA60 Lingala 5 mai 2020	bokolongono / santé / medecine
Mokambi ya sika ya police asengi lisungi ya population na Lubumbashi	rdc
VOA60 Lingala 18 mars 2021	politiki / politique
CENCO esengi bakeli mibeko basala kaka te mpo na lingomba songolo te kasi mpo na démocratie	politiki / politique
"Mali : basoda bakangi président mpe PM ya transition kasi bakonzi bamolongo batelemeli ""coup d'état"""	bokengi / securite
Bokutani ya bakonzi ba bikolo ba CIRGL mpo na RCA na Luanda	bokengi / securite
Hamed Bakayoko Ministre wa yambo ya Côte d’Ivoire awei na Allemagne	politiki / politique
FMI elobi kokitisa budget ezali malamu	rdc
VOA60 Lingala 23 avril 2021	politiki / politique
Museveni alaki CENCO kosunga kosilisa basimba minduki	rdc
CCT ekebisi mpo na balkanisation (bokatani) ya RDC	rdc
Sassou atie matanga na mboka mpo na Yhombi Opango vendredi	politiki / politique
Patricia Nseya candidate ya UDPS na esika ya Kabund na ebonga ya 1er V-P ya Assemblée nationale	politiki / politique
VOA60 Lingala 6 mai 2020	bokengi / securite
Kamerhe azelami na Parquet général	justice
Tshisekedi akomi Goma	politiki / politique
Trump akebisi Biden na komisakola molongi na lombango	politiki / politique
Tshisekedi na Museveni bapeti piololo ya bobandi botongi nzela ekosangisa Ouganda na RDC	politiki / politique
Dr. Muyembe alimboli mangwele ya mibale ya Ebola	rdc
Tshisekedi alobi alingi mokonzi ya kala avanda na kimya mpo ye mpe akokoma mokonzi ya kala	politiki / politique
VOA60 Lingala 24 mai 2021	bokengi / securite
voa60 Lingala 2 octobre 2020	bokengi / securite
Ba ONG basengi Tshisekedi etumbu mpo na Dan Gertler	rdc
Soda moko abomi bato zomi na misato na Sange, na Sud-Kivu	bokengi / securite
Bakata Katanga 16 bakufi elongo na ba policiers babale na soda moko na bitumba na Lubumbashi	bokengi / securite
Pascal Mukuna atindami na Makala	justice
Ba ADF babmomi lisusu bato babale na Oicha	rdc
Bato bazoki na masasi na milulu ya kosenga bokengi mpe bolongwi ya Monusco na Beni	bokengi / securite
Katumbi alobi atambolaki te mpo aboyaki makila matanga	politiki / politique
Poloice epanzi balandi ya Pascal Mukuna na ACK/Bandal	justice
Tshisekedi asengi moto nyonso mpe mboka nyonso kopesa eyano na boluki kimya no mokili	rdc
Gims ayanoli na mituna ya VOA Lingala	rdc
Tshisekedi akomi na Nairobi mpo na bokutani ya ACP	rdc
Fayulu asengi etumbu mpo na bobomami ya Kipupu mpe bolukiluki ya bayi molongo	bokengi / securite
Tshisekedi akitisi mitema na babeli ya COVID na hôpital ya Cinquantenaire	bokolongono / santé / medecine
VOA60 Lingala 25 janvier 2021	politiki / politique
VOA60 14 août 2020	bokengi / securite
Thomas Lubanga alongwe kati na bato ya etumbu ya ONU	justice
Ba Léopards babetami lisusu fimbu na CAN 2019 na ba Pharaons (0-2)	rdc
Sango ya le 20 mai 2019 na VOA Lingala	rdc
Lisungi mpo na basi bazali na mpasi kati na bomwasi na bango (endométriose) na Kinshasa	bokolongono / santé / medecine
"""15 millions $"" : Procureur ya Cour ya cassation apekisi makelele, azwi makambo na maboko"	rdc
VOA60 Lingala 28 avril 2020	bokengi / securite
VOA2X60 Lingala 1er aout 2020	politiki / politique
VOA60 Lingala 22 mars 2021	bokolongono / santé / medecine
Nangaa akutani na ba 13 parlementaires bazali kosenga mbongwana na mapopnami	politiki / politique
Sassou na Tshisekedi bakutanaki na Oyo	rdc
Ba Maï Maï babale bakangami na botelemeli MONUSCO na Butembo	rdc
VOA60 26 mars 2020	bokolongono / santé / medecine
Pierre Buyoya atiki ebonga na ye ya molakisi elongi ya UA na Mali mpo asamba	politiki / politique
S/Sec d'Etat adjointe ya Amerika apeski maboko na bokengi na Lubumbashi	rdc
COVID-19: Dr. Mukwege alobi bana ya Afrika basalela makoki ya mboka na bango	bokolongono / santé / medecine
Basango ya le 2 avril 2019 na 16h TU na VOA Lingala	rdc
VOA60 Lingala 16 février 2021	politiki / politique
Etumbu ya liwa mpo na minganga bafundamaki na liwa lya Dr. Richard Muzoko ya OMS na Butembo	justice
LICOCO esenge bokangami ya bato basusu bazali na misala ya 100 jours ya Tshisekedi	rdc
VOA60 Lingala 12 mars 2021	bokengi / securite
Minembwe : Bakeli mibeko bakati ete Ruberwa ayanola na mituna na bango	politiki / politique
Bakeli mibeko ya mboka bapameli Ministre wa Yambo na kolakisa mawa te mpo na basi mpe bana ba Beni	bokengi / securite
Koleka bato 15 bakufi na likama ya bwatu ba lac Maï-Ndombe	rdc
N’Sengi-Biembe azuwi ebonga ya Ibenge	rdc
Mwana ya président ya kala ya Angola José Filomeno dos Santos akatelami mibu mitano ya boloko	justice
Guterres asololi likambo ya mbongwana ya ba institutions na Lamuka	rdc
Bavandi ya Beni bakotaki nzamba koluka ba ADF na makwangola kasi ba FARDC babomi ba ADF 8	bokengi / securite
"Tshisekedi : ""libala FCC-CACH ezali kokende na kokufa te"""	politiki / politique
Kagame, Museveni, Lourenço na Tshisekedi bandimi lisusu kosangisa makasi mpo na kosukisa basimba minduki	bokengi / securite
Ba ADF babomi bato zomi na wenze moko na Ituri	bokengi / securite
Basoda babengani bayi UDPS na post-frontalier ya Kasumbalesa	bokengi / securite
Ne Mwanda Nsemi abimisami na boloko	rdc
Mokambi ya kala ya ANR Kalev Mutond abengisami na jeudi na parquet général	bokengi / securite
Théodore Ngoyi alobeli ndenge ANR ebuki bureau ya président ya Cour constitutionnelle	justice
"Tshisekedi asakoli suka ya libala CACH-FCC mpe akotia na esika ""Informateur"" mpo na koluka majorité ya sika"	politiki / politique
VOA60 Lingala 11 juin 2021	politiki / politique
VOA60 Lingala 12 mai 2021	politiki / politique
VOA60 8 août Lingala	politiki / politique
"Sylvestre Ilunga alobi akokende te kolia epayi ya ba ""voisins"""	politiki / politique
Mbela ya ba banyamulenge na Tshiluba	rdc
DG Blattner ya Safricas akatelami mibu 20 mya misala makasi na bosambisi bwa bozongeli	justice
Foto ya touriste ya mondele amemami na tipoy ebendi nkanda	rdc
Liwa lya Attanasio: Molobeli ya ba FDLR Cure Ngoma alobi ezali mampinga ma Rwanda na ma RDC	bokengi / securite
Police epanzaki bato babandaki kotambola mpo na kosenga bolongwi ya gouverneur ya Tshopo	politiki / politique
Tshisekedi alobi RDC ekopesa yambo mino mibale mikelami na mboka mpe ekozela mpo na mangwele	bokolongono / santé / medecine
Koffi Olomide akosambisama lisusu na France na avril 2020	rdc
Jonathan Bolingi alobi elikya ezali mpo na ba Léopards	rdc
VOA60 Lingala 16 avril 2021	politiki / politique
Sassou na Moussa Faki basololi mpo na kimya na Afrika	politiki / politique
Police ekangaki ba bureaux mpe ebenganaki basali ya Assemblée na Kisangani (vidéo)	politiki / politique
VOA60 Lingala 1er avril 2020	rdc
Ilunga na mbulamatari na ye bandimami na Assemblée nationale	rdc
Tshisekedi alobi likambo lya Minembwe likotalama yambo na bato ya mayele	bokengi / securite
VOA60 Lingala 22 décembre 2020	justice
VOAl60 Lingala 20 janvier 2021	politiki / politique
Trump alobi akoki kozonga na bokonzi na 2024	politiki / politique
Ba députés pene na 200 bakebisi koboya mbulamatari ya Sama Lukonde (Daniel Mbau)	politiki / politique
VOA60 Lingala 25 décembre 2020	bokengi / securite
VOA60 Lingala 6 mars 2020	rdc
VOA60 Lingala 19 octobre 2020	politiki / politique
23 ADF bakufi na bitumba na Mavivi na Beni	rdc
Basali ya bitumba na Ebola na COVID19 batiaki moto na esika basalaka na Mbandaka mpo na lifuta	bokolongono / santé / medecine
VOA60 6 avril 2021	politiki / politique
Nkanda ya PM Ilunga mpo Tsisekedi atindaki ya Lubumbashi mpe Kankonde atiaki manzaka na mikanda	politiki / politique
Tshisekedi alobi ezali malamu Kagame atinda bato basala mabe na justice mpe akumisa Dr. Mukwege	politiki / politique
Ruberwa akoyanola na Parlement mpo na nini akomisi Minembwe commune (Député Mohindo)	politiki / politique
